genero;pais;origen_capital;puesto;funcion;anios_empresa;sueldo_bruto;sueldo_dolar;satisfaccion;busqueda;anio
Femenino;Argentina;Nacional;Analista;Administración de personal;5;55000;655.6204553582072;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Jefe;Generalista;11;75000;894.0278936702825;3;Sí, activamente;2020
Femenino;Argentina;Multinacional;Analista;Administración de personal;2;60000;715.222314936226;NA;NA;2020
Femenino;Argentina;Multinacional;Analista;Generalista;7;72500;864.226963881273;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Desarrollo laboral: procesos Sofi, capacitacion, evaluación, desarrollo;12;66000;786.7445464298486;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;5;55000;655.6204553582072;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Multinacional;Analista;Reclutamiento y selección;5;70000;834.4260340922636;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Administrativo;Administración de personal;6;37000;441.05376087733936;4;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Responsable;Generalista;3;87000;1037.0723566575277;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;HRBP;Generalista;10;100000;1192.0371915603766;1;Sí, activamente;2020
Femenino;Argentina;Multinacional;HRBP;Capacitación y desarrollo;2;57000;679.4611991894147;4;Sí, activamente;2020
Masculino;Argentina;Nacional;Analista;Generalista;4;40000;476.81487662415066;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;HRBP;Generalista;2;84000;1001.3112409107164;5;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Payroll / Liquidación de sueldos;4;48000;858.2667779234712;NA;NA;2020
Masculino;Argentina;Multinacional;Analista;Payroll / Liquidación de sueldos;2;65500;780.7843604720467;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Multinacional;Responsable;Administración de personal;6;72000;858.2667779234712;NA;NA;2020
Femenino;Argentina;Nacional;Responsable;Generalista;5;48192;574.4665633567768;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Jefe;Generalista;12;181000;2157.5873167242817;2;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Analista;People Analytics;7;110000;1311.2409107164144;2;Sí, activamente;2020
Femenino;Argentina;Nacional;HRBP;Generalista;7;105000;1251.6390511383954;3;Sí, activamente;2020
Masculino;Argentina;Nacional;Responsable;Capacitación y desarrollo;5;75000;894.0278936702825;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;HRBP;Payroll / Liquidación de sueldos;8;50000;596.0185957801883;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Payroll / Liquidación de sueldos;7;60000;715.222314936226;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Jefe;Generalista;18;75000;894.0278936702825;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;HRBP;Capacitación y desarrollo;12;85000;1013.2316128263202;2;Sí, activamente;2020
Femenino;Argentina;Nacional;Administrativo;Administración de personal;1;30000;536.4167362021695;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Administración de personal;15;60000;715.222314936226;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Jefe;Generalista;20;150000;1788.055787340565;1;Sí, activamente;2020
Femenino;Argentina;Nacional;Administrativo;Administración de personal;3;54506;649.7317916318989;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Jefe;General;24;96000;1144.3557038979616;1;Sí, activamente;2020
Femenino;Argentina;Nacional;Administrativo;Administración de personal;3;58000;691.3815711050185;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Administrativo;Reclutamiento y selección;6;39000;464.8945047085469;2;Sí, activamente;2020
Masculino;Argentina;Nacional;Gerente;Diseño organizacional;18;145000;1728.453927762546;NA;NA;2020
Femenino;Argentina;Nacional;Jefe;Relaciones laborales;15;140000;1668.8520681845273;4;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Responsable;Payroll / Liquidación de sueldos;12;61000;727.1426868518298;1;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Generalista;9;60000;715.222314936226;3;Sí, activamente;2020
Femenino;Argentina;Multinacional;Administrativo;Reclutamiento y selección;3;55000;655.6204553582072;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Responsable;Reclutamiento y selección;14;110000;1311.2409107164144;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;HRBP;Generalista;8;101000;1203.9575634759804;2;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Generalista;10;109000;1299.3205388008105;3;No estoy buscando cambiar;2020
Masculino;Argentina;Nacional;Gerente;Administración de personal;18;200000;2384.0743831207533;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Multinacional;HRBP;Generalista;7;85000;1013.2316128263202;5;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Capacitación y desarrollo;10;52000;619.8593396113959;4;No estoy buscando cambiar;2020
Masculino;Argentina;Nacional;Analista;Administración de personal;10;60200;717.6063893193467;4;Sí, activamente;2020
Masculino;Argentina;Multinacional;Analista;People Analytics;1;90000;1072.833472404339;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Analista;Diseño organizacional;4;50600;603.1708189295506;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Analista;People Analytics;14;48000;858.2667779234712;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;7;75000;894.0278936702825;5;No estoy buscando cambiar;2020
Masculino;Argentina;Multinacional;Jefe;Relaciones laborales;10;127000;1513.8872332816784;3;Sí, activamente;2020
Femenino;Argentina;Multinacional;Administrativo;Generalista;1;42000;500.6556204553582;2;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Responsable;Administración de personal;15;75000;894.0278936702825;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;7;39323;468.74478483728694;2;Sí, activamente;2020
Femenino;Argentina;Multinacional;Analista;Generalista;16;76000;905.9482655858862;NA;NA;2020
Masculino;Argentina;Nacional;Administrativo;Capacitación y desarrollo;1;47000;560.2574800333771;2;Sí, activamente;2020
Femenino;Argentina;Nacional;Administrativo;Generalista;4;41000;488.7352485397544;1;Sí, activamente;2020
Femenino;Argentina;Nacional;Gerente;Generalista;20;160000;1907.2595064966026;NA;NA;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;2;37000;441.05376087733936;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Payroll / Liquidación de sueldos;10;45000;536.4167362021695;2;Sí, activamente;2020
Femenino;Argentina;Multinacional;Responsable;People Analytics;7;150000;1788.055787340565;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Payroll / Liquidación de sueldos;10;81500;971.510311121707;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Reclutamiento y selección;1;37000;441.05376087733936;3;Sí, activamente;2020
Femenino;Argentina;Multinacional;Responsable;RRHH;25;71000;846.3464060078675;3;Sí, activamente;2020
Femenino;Argentina;Multinacional;Jefe;Generalista;5;120000;1430.444629872452;NA;NA;2020
Masculino;Argentina;Nacional;Jefe;Administración de personal;2;55000;655.6204553582072;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Multinacional;Responsable;Administración de personal;6;72000;858.2667779234712;NA;NA;2020
Masculino;Argentina;Nacional;HRBP;Generalista;6;75000;894.0278936702825;NA;NA;2020
Masculino;Argentina;Nacional;HRBP;Generalista;6;60000;715.222314936226;NA;NA;2020
Femenino;Argentina;Nacional;Analista;Generalista;4;40700;485.1591369650733;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Administración de personal;6;51100;609.1310048873524;2;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Analista;Generalista;10;96684.6;1152.516390511384;2;Sí, activamente;2020
Masculino;Argentina;Multinacional;Analista;Generalista;20;110000;1311.2409107164144;3;Sí, activamente;2020
Masculino;Argentina;Nacional;Responsable;People Analytics;8;62700;747.4073191083562;2;Sí, activamente;2020
